id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
1336,270277068,1,CENTRO              ,104,JUSTICIA            ,11004593,1,230900,PLAZA                   ,CHUECA                                            ,NUM,10,28004,44082959,447489153,1,Puerta Calle,1,Abierto,10,NA,PB,NA,NA,NA,LA BOHEMIA,1,Anual,1,Abierta,1944,1944,42016,11004593,1,230900,PLAZA                   ,CHUECA                                            ,NUM,10,  ,Plaza peatonal,0.416666667,0,0.416666667,0.958333333,0.416666667,0.0625,0.416666667,0.958333333,0,0,6,6,24,NA
1337,270051335,1,CENTRO              ,106,SOL                 ,11007229,1,388600,CALLE                   ,JACOMETREZO                                       ,NUM,15,28013,4399466,447462253,1,Puerta Calle,1,Abierto,70,NA,PB,NA,NA,NA,O´FARO DE FINISTERRE RESTAURANTE,1,Anual,1,Abierta,4284,4284,42016,11007229,1,388600,CALLE                   ,JACOMETREZO                                       ,NUM,15,  ,Acera,0.416666667,0.041666667,0.416666667,0,0.416666667,0.104166667,0.416666667,0,0,0,16,16,54,NA
1338,270310047,1,CENTRO              ,102,EMBAJADORES         ,11002432,1,432200,CALLE                   ,LAVAPIES                                          ,NUM,42,28012,44040359,447347353,1,Puerta Calle,1,Abierto,10,NA,PB,NA,NA,NA,LAVAPIES SHAPLA,1,Anual,1,Abierta,144,144,42016,11002432,1,432200,CALLE                   ,LAVAPIES                                          ,NUM,42,  ,Acera,0.375,0.979166667,0.375,0.958333333,0.375,0.041666667,0.375,0.958333333,0,0,3,3,12,NA
1339,270439986,1,CENTRO              ,105,UNIVERSIDAD         ,11005521,1,659200,CALLE                   ,SAN ANDRES                                        ,NUM,12,28004,4403116,447534653,1,Puerta Calle,1,Abierto,10,NA,PB,NA,NA,NA,CAFE PEPE BOTELLA,1,Anual,1,Abierta,2002,2002,42016,11006172,1,251900,PLAZA                   ,DOS DE MAYO                                       ,NUM,9,  ,Plaza peatonal,0.416666667,0,0.416666667,0.958333333,0.416666667,0.0625,0.416666667,0.958333333,0,0,8,8,24,NA
1340,270362086,1,CENTRO              ,106,SOL                 ,11007287,1,531200,CALLE                   ,NAVAS DE TOLOSA                                   ,NUM,3,28013,44005559,447451853,1,Puerta Calle,1,Abierto,10,NA,PB,NA,NA,NA,A MIÑA GAITA,1,Anual,1,Abierta,468,468,42016,11007287,1,531200,CALLE                   ,NAVAS DE TOLOSA                                   ,NUM,3,  ,Calle peatonal,0.416666667,0.020833333,0.416666667,0.958333333,0.416666667,0.083333333,0.416666667,0.958333333,0,0,2,2,6,NA
1342,270271237,1,CENTRO              ,106,SOL                 ,11007802,1,670400,PASADIZO                ,SAN GINES                                         ,NUM,5,28013,44003759,447425753,1,Puerta Calle,1,Abierto,10,NA,PB,NA,NA,NA,CHOCOLATERIA SAN GINES ANEXO,1,Anual,1,Abierta,3672,3672,42023,11007802,1,670400,PASADIZO                ,SAN GINES                                         ,NUM,5,  ,Calle peatonal,0.416666667,0.020833333,0.416666667,0.958333333,0.416666667,0.0625,0.416666667,0.958333333,0,0,13,13,46,NA
1343,10002968,1,CENTRO              ,105,UNIVERSIDAD         ,11006843,1,638700,CALLE                   ,REYES                                             ,NUM,21,28015,4397646,447503554,1,Puerta Calle,1,Abierto,20,NA,PB,NA,NA,NA,RINCON DE REYES,2,Estacional,1,Abierta,1584,NA,42023,11006843,1,638700,CALLE                   ,REYES                                             ,NUM,21,  ,Calle peatonal,0.416666667,0.020833333,NA,NA,0.416666667,0.083333333,NA,NA,0,NA,6,NA,20,NA
1344,10002139,1,CENTRO              ,101,PALACIO             ,11000526,1,158800,CALLE                   ,CAVA DE SAN MIGUEL                                ,NUM,6,28005,43989559,447406553,1,Puerta Calle,1,Abierto,60,NA,PB,NA,NA,NA,DON CARNARL,1,Anual,1,Abierta,702,65,42023,11000526,1,158800,CALLE                   ,CAVA DE SAN MIGUEL                                ,NUM,6,  ,Acera,0.416666667,0.020833333,0.416666667,0.958333333,0.416666667,0.0625,0.416666667,0.958333333,0,0,3,3,9,NA
1345,270395877,1,CENTRO              ,106,SOL                 ,11007907,1,741000,CALLE                   ,TETUAN                                            ,NUM,19,28013,44028959,447435453,1,Puerta Calle,1,Abierto,30,NA,PB,NA,NA,NA,CAFETERIA ARMENIA,1,Anual,1,Abierta,3168,3168,42023,11007846,1,145600,CALLE                   ,CARMEN                                            ,NUM,3,  ,Calle peatonal,0.416666667,0.041666667,0.416666667,0,0.416666667,0.104166667,0.416666667,0,0,0,12,12,40,NA
1346,280011728,1,CENTRO              ,106,SOL                 ,11007715,1,158800,CALLE                   ,CAVA DE SAN MIGUEL                                ,NUM,11,28005,43990159,447409353,1,Puerta Calle,1,Abierto,10,NA,PB,NA,NA,NA,MUSEO DEL JAMON,1,Anual,1,Abierta,98,90,42023,20006910,1,498000,PLAZA                   ,MAYOR                                             ,NUM,18,  ,Plaza peatonal,0.416666667,0.041666667,0.416666667,0.958333333,0.416666667,0.0625,0.416666667,0.958333333,2,2,30,30,110,NA
